obs	Country	Arrivals	Share	Gdp	Gdppc	Gkf	Cpi	Fdi	Exrate	ld_Arrivals	ld_Share	ld_Gdp	ld_Gdppc	ld_Gkf	ld_Cpi	ld_Fdi	ld_Exrate
"1991"	1	55041	12.4386440677966	1640714701824.36	28019.0700420328	310626732920.46	73.4869177432876	15152742089.8424	102.53	0.047322336956972	0.0405195896342199	0.0103400556075215	0.00781163311923017	-0.0314098543160632	0.031662749959068	0.139231746916572	-0.0365174149000298
"1992"	1	59740	12.4510212588579	1664963471935.78	28292.0266109218	300535010920.012	75.2254455510217	21839501253.074	104.095833333333	0.0819234507232718	0.000994564765661732	0.0146712437135328	0.00969466847441858	-0.0330277195798523	0.0233821449206557	0.365538802611464	0.0151565105214786
"1993"	1	60565	12.2180754488602	1653852691682.83	27981.5692247404	267229790986.42	76.8097012666016	20754044035.6782	105.2825	0.0137153556808016	-0.0188861989401321	-0.00669565363962121	-0.0110339682891674	-0.117455327413627	0.0208414053415256	-0.0509791932450661	0.0113352642921996
"1994"	1	61312	11.7953058868796	1691021184933.84	28503.9794568585	288677634507.287	78.0854127978741	15797125294.9865	105.024166666667	0.0122584138796302	-0.0352148033012321	0.0222250671139115	0.0184976561271633	0.0772016853412474	0.016472312693673	-0.272913140849237	-0.00245673109044997
"1995"	1	60033	11.3269811320755	1725641456022.73	28982.5470176655	302007764675.67	79.4738616272588	23736300874.0228	107.805833333333	-0.0210811713208603	-0.0405140556596368	0.0202662420362358	0.0166501142464277	0.0451421138894617	0.0176249195906877	0.407177578636237	0.0261412871597466
"1996"	1	62406	11.1042704626335	1744064659527.19	29188.379899578	290191371022.982	81.067136302034	21971888803.0024	107.373333333333	0.0387670135715155	-0.0198578297760088	0.0106195602915093	0.00707685958819937	-0.0399121224694916	0.0198494715705442	-0.0772417041426685	-0.00401991130574419
"1997"	1	66591	11.325	1782152186194.85	29720.4717505999	297494261684.823	82.0577734055212	23047924754.756	102.074166666667	0.0649080086805824	0.0196829106756464	0.0216033270906841	0.0180654114660861	0.0248543309238336	0.0121458983021085	0.047811878440374	-0.0506121850186627
"1998"	1	70109	11.6074503311258	1842357932069.84	30611.4892950859	333353221322.688	82.546212532935	29518429032.2114	102.206666666667	0.0514817405369943	0.0246344905008056	0.03322450873344	0.0295393127546912	0.113807716156984	0.00593473551981472	0.247439048192305	0.00129723397363346
"1999"	1	73147	11.6661881977671	1903007898865.84	31457.0313920338	359199970576.531	82.9864956900404	45986859387.4475	99.2641666666667	0.0424199411885464	0.00504759849044234	0.0323895030088046	0.0272471261833012	0.0746766020118841	0.00531960360099415	0.443340908938481	-0.0292122606372516
"2000"	1	77190	11.4017725258493	1973040715336.02	32392.1601842506	391485377830.423	84.3967776776434	42379454823.6831	93.8333333333333	0.0537987999565885	-0.0229259323227669	0.0361401240356365	0.0292938920658656	0.0860689111270609	0.0168513296687554	-0.0816920014311791	-0.0562644876653149
"2001"	1	75202	11.1245562130178	2009259139005.37	32747.7042933707	393114823283.838	85.7726625435981	50342933495.883	93.4983333333333	-0.0260920886149485	-0.0246138917456369	0.0181902034813355	0.0109164378149256	0.00415357476004985	0.0161711156530888	0.172194572908634	-0.00357654808780961
"2002"	1	77012	11.0649425287356	2027922196776.6	32812.5605990037	380798544632.642	87.4168449584139	49568692710.503	95.0208333333333	0.0237834275202751	-0.005373156771181	0.00924565391804322	0.00197852546497224	-0.0318312593594179	0.0189876608173103	-0.0154988225756512	0.0161525549799837
"2003"	1	75048	10.8765217391304	2046163317428.99	32874.0679142829	382196550450.182	89.2605306787925	43061946521.5344	100.083333333333	-0.0258333450434396	-0.0171752823003244	0.00895476664966566	0.00187275050182656	0.00366452521386762	0.020871406329551	-0.140719743309859	0.0519070064881708
"2004"	1	74433	9.76811023622047	2098231445884.94	33463.484367378	409094397043.974	91.1661312181391	32828926514.2162	101.863333333333	-0.00822851693601478	-0.107483475031357	0.0251283341458475	0.0177706877654042	0.0680109227754713	0.0211240553856946	-0.271329663119829	0.0176288732837904
"2005"	1	74988	9.29219330855019	2136555737949.56	33818.9726871324	426669153857.633	92.748398813987	88784437774.3422	101.261666666667	0.00742870884731062	-0.0499484037359923	0.0181002429205428	0.0105671416670141	0.0420629685512068	0.0172069779936015	0.994901351690277	-0.00592411988971442
"2006"	1	77916	9.13434935521688	2189261553002.04	34412.6255669414	445387753071.681	94.3100281368455	88653513862.1396	100.88	0.0383032225794047	-0.0171326566423251	0.0243692323564382	0.0174015522267936	0.0429363603915363	0.0166970890225189	-0.00147571514160205	-0.00377623402939165
"2007"	1	80853	8.89471947194719	2239290842802.07	34982.0476328005	477215186418.694	95.713430700119	93071273731.4862	101.5775	0.0370013677717562	-0.0265841789140437	0.0225949311506746	0.0164114857834168	0.0690222557558116	0.0147711034059759	0.0486299146309079	0.00689036226964923
"2008"	1	79218	8.54563106796117	2237484448620.85	34759.1463153496	473557869686.117	98.4067253252248	64105775507.9161	102.9425	-0.0204291453609873	-0.040037616749363	-0.000807006901919038	-0.00639226442307361	-0.00769339170533812	0.0277505182177693	-0.372831122445085	0.0133485259952346
"2009"	1	76764	8.61548821548821	2167069258226.38	33492.6031890644	399601329539.124	98.4934060717799	26875154006.4343	103.144166666667	-0.0314677654691184	0.00814137262592718	-0.0319765383439048	-0.0371181265736915	-0.169806748080553	0.00088045397978842	-0.869332244491897	0.00195710604959132
"2010"	1	77648	8.18208640674394	2204446339914.44	33902.4887464595	408166681706.71	100	39035922875.7727	100	0.0114500124068595	-0.0516143587322588	0.0171007018985918	0.0121638119169365	0.0212082506280673	0.0151805834845664	0.373280104653333	-0.0309574999830478
"2011"	1	81550	8.19597989949749	2249127707682.93	34420.0215587019	442511732847.088	102.117486808704	40832023979.3499	99.4333333333333	0.0490305364041621	0.00169659785549747	0.0200660712122769	0.0151499910839519	0.0807913544332273	0.0209537959051529	0.0449843534339998	-0.00568278313549886
"2012"	1	83013	8.02057971014493	2249439870828.98	34250.166106387	419181666315.973	104.114583691636	28121826113.7947	96.3858333333333	0.0177808929709489	-0.0216330755699281	0.000138783353190064	-0.00494700260750136	-0.0541625818879794	0.0193680770148461	-0.372920670121388	-0.031128169158448
"1980"	2	4796	1.72455951096728	145924695198.084	15133.4840062913	33875265203.4288	5.23385579271742	672000000	81.4565121376011	NA	NA	NA	NA	NA	NA	NA	NA
"1981"	2	5094	1.82842785355348	143657432237.88	14765.3679061684	30510901915.7802	6.51400271014916	520000000	84.4907040892007	0.0602811393919982	0.0584848392862112	-0.0156591797270202	-0.024625340355735	-0.10460104844412	0.218805871197374	-0.256429528947677	0.036572233101281
"1982"	2	5033	1.81762369086313	142030299882.077	14508.4132256709	29461715027.1461	7.87666591308588	436000000	88.0399003325028	-0.0120471487630436	-0.005926517594253	-0.0113911083129494	-0.0175557287141288	-0.0349924348189461	0.18995058395428	-0.176186568226438	0.0411486070541933
"1983"	2	4778	1.69552874378992	140498329290.103	14268.6758917651	26933045708.4586	9.47103437165317	439000000	81.589013241777	-0.0519941788906042	-0.0695353481782689	-0.0108448167608941	-0.0166620660841552	-0.0897376271291321	0.184333420526431	0.00685716972613548	-0.0760955133268304
"1984"	2	5523	1.80019556714472	143323161165.237	14483.2299240088	26374461350.706	11.2183414267199	485000000	79.0648255402128	0.144899142015433	0.0599006719869114	0.0199063513570188	0.014924785595019	-0.0209578287948915	0.169311938852591	0.0996494778623109	-0.0314265188235581
"1985"	2	6574	2.05373320837238	146919936943.605	14789.1584654787	29096360816.2845	13.3837681640015	447000000	76.4906374219785	0.174201284322976	0.131763906840261	0.0247858428762591	0.0209029530845992	0.0982169396317865	0.176492575420568	-0.0815902963239132	-0.0330997457347832
"1986"	2	7025	2.1274984857662	147680482808.979	14816.6275576712	31339942285.2564	16.4648573136962	471000000	71.6489304077534	0.0663527399777823	0.0352876554675714	0.00516324827803061	0.00185565754298267	0.0742802868606773	0.207185608095757	0.0522994994028494	-0.0653901205536807
"1987"	2	7564	2.10286349735891	144344582320.511	14433.5994328848	24866256999.0769	19.1626153889656	683000000	73.2747772898107	0.073924935576402	-0.0116468836391489	-0.0228476661878574	-0.0261912511321523	-0.231381651520156	0.151733016029206	0.371636765554371	0.0224382210693763
"1988"	2	7923	2.05792207792208	150533878329.055	14997.9210215914	28961009382.9336	21.7546948632078	907000000	75.1731264427203	0.0463697711868942	-0.0216032123993121	0.0419847901800985	0.0383528103070514	0.15243867745524	0.126868324238151	0.283647590544348	0.0255773587355232
"1989"	2	8082	1.97073884418435	156254165703.24	15486.8126940745	29556784698.2251	24.7350880594672	752000000	75.980633171943	0.0198694446731764	-0.0432882534370523	0.0372957847288511	0.0320772749279872	0.0203628968214922	0.128393214768396	-0.187406126165296	0.0106846751744847
"1990"	2	8873	2.0188850967008	156254165703.24	15384.037938265	30090892249.9908	29.7821772677314	1005000000	80.2240018666822	0.0933735911969187	0.0241369064697006	0	-0.00665839349465003	0.0179092247958792	0.185687331537913	0.290006496543334	0.0543442641167253
"1991"	2	8036	1.81604519774011	161098044842.542	15707.2404766306	33041528221.9651	35.5816163400148	1135000000	81.1390094917457	-0.099081510900513	-0.105884258223265	0.0305292050503567	0.0207913085310452	0.0935426583639902	0.177918973209628	0.121645109422328	0.0113411050617707
"1992"	2	9331	1.94476865360567	162225731156.269	15643.9563593463	30317679899.1263	41.2269596570173	1144000000	83.6848640405337	0.149410743299198	0.068481857341587	0.0069756137353707	-0.00403711562064402	-0.0860341639055839	0.147263293425353	0.00789824202423972	0.0308942750007111
"1993"	2	9413	1.89893080492233	159630119458.014	15252.9446634717	28987213684.4184	47.1696171371503	977000000	84.2023683530696	0.00874952231319703	-0.0238520323077358	-0.0161293819283479	-0.0253120901796091	-0.0448762120445991	0.134657577641138	-0.157799519896958	0.00616492325462925
